months_as_customer,age,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,injury_claim,property_claim,vehicle_claim,fraud_reported,policy_age_days,claim_ratio,Fraud_Probability,Predicted,Actual,Risk_Level
285,44,250/500,2000,1144.3,0,MALE,MD,priv-house-serv,not-in-family,52600,0,Vehicle Theft,unknown,Minor Damage,Police,3,1,YES,1,0,unknown,500,500,4500,N,8568,8.982035928143713,0.20625760031950666,1,0,Low Risk
230,37,500/1000,1000,1060.74,0,MALE,PhD,tech-support,own-child,0,-51500,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,15,1,YES,2,3,unknown,9820,4910,34370,Y,3560,6.998574628385257,0.3812173275167143,1,1,Low Risk
101,33,100/300,1000,1053.04,7000000,FEMALE,Masters,other-service,own-child,52000,-44500,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,20,3,NO,1,3,unknown,9040,9040,36160,Y,976,3.999557571065148,0.25241673479332655,1,1,Low Risk
266,42,100/300,500,1093.83,4000000,MALE,Associate,adm-clerical,other-relative,0,-49600,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,18,3,unknown,1,1,NO,4440,8880,39960,Y,4370,4.49949330030402,0.6222770690954655,1,1,Medium Risk
430,59,250/500,2000,1326.62,7000000,MALE,MD,other-service,own-child,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,3,unknown,0,3,YES,16360,8180,57260,N,4011,6.999144358880333,0.31549339052953623,1,0,Low Risk
130,34,250/500,500,1383.49,3000000,FEMALE,Masters,armed-forces,other-relative,35100,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,4,3,unknown,2,3,YES,7500,7500,52500,N,4358,6.999066791094521,0.28685101848620215,1,0,Low Risk
234,44,500/1000,500,1780.67,0,MALE,Associate,other-service,other-relative,0,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,3,1,NO,1,0,NO,7020,7020,56160,Y,4641,7.998860561173622,0.4931364555713283,1,1,Medium Risk
14,28,250/500,2000,1587.96,0,FEMALE,Associate,craft-repair,unmarried,0,-26900,Single Vehicle Collision,Rear Collision,Major Damage,Fire,18,1,unknown,2,1,YES,12960,12960,45360,Y,4590,3.4997299591080937,0.6811293273601353,1,1,Medium Risk
335,50,100/300,1000,1538.26,6000000,MALE,High School,sales,other-relative,62200,-31400,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,12,3,YES,2,3,YES,8580,4290,21450,N,2908,4.998834770449778,0.18972478828233882,0,0,Low Risk
359,47,100/300,2000,1367.68,0,FEMALE,MD,handlers-cleaners,unmarried,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,13,1,NO,0,3,NO,5550,11100,38850,N,7753,3.499684713088911,0.35974351217485334,1,0,Low Risk
78,31,250/500,1000,1377.23,0,FEMALE,Masters,armed-forces,unmarried,72600,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,1,3,unknown,2,1,unknown,5810,11620,34860,N,8734,2.999741846656914,0.1971233199425407,0,0,Low Risk
89,32,100/300,2000,1482.53,0,FEMALE,MD,tech-support,not-in-family,49100,-45100,Parked Car,unknown,Trivial Damage,Police,5,1,YES,1,2,unknown,10,20,70,N,6,3.3333333333333335,0.1390521115301147,0,0,Low Risk
11,40,500/1000,2000,1217.69,0,FEMALE,MD,prof-specialty,wife,24000,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,6,3,unknown,1,0,unknown,9720,9720,34020,Y,5040,3.499639954737167,0.4674650874188774,1,1,Medium Risk
463,59,250/500,1000,979.73,0,FEMALE,JD,exec-managerial,not-in-family,51700,0,Multi-vehicle Collision,Front Collision,Major Damage,Other,14,2,unknown,1,2,NO,7240,14480,50680,Y,7498,3.4997583039845312,0.551271951028894,1,1,Medium Risk
187,34,500/1000,500,1232.57,0,FEMALE,PhD,machine-op-inspct,not-in-family,59500,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,7,3,unknown,0,0,unknown,8200,4100,32800,N,4349,7.998049256278956,0.2472799150402879,1,0,Low Risk
436,60,250/500,500,1362.31,0,MALE,High School,prof-specialty,wife,67600,-65300,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,16,1,NO,0,2,NO,14920,7460,59680,N,8309,7.9989277576732345,0.3070819364161295,1,0,Low Risk
330,48,250/500,1000,1625.65,0,MALE,College,farming-fishing,husband,0,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,10,1,YES,1,3,unknown,11900,5950,41650,N,6091,6.998823727104688,0.6732518411302462,1,0,Medium Risk
194,34,250/500,1000,1193.45,0,MALE,JD,other-service,not-in-family,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,11,1,unknown,2,1,YES,11760,5880,41160,N,3897,6.998809726237035,0.39227710233856256,1,0,Low Risk
251,39,500/1000,2000,1231.98,0,FEMALE,Associate,other-service,not-in-family,0,-31700,Single Vehicle Collision,Rear Collision,Minor Damage,Police,10,1,YES,0,0,unknown,5530,5530,33180,N,5753,5.998915205207015,0.24149347495940574,1,0,Low Risk
64,25,250/500,1000,954.16,0,MALE,Masters,prof-specialty,husband,53200,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,22,4,NO,0,0,unknown,12600,12600,50400,N,5448,3.9996825648758034,0.5129907160096155,1,0,Medium Risk
230,43,500/1000,2000,1101.83,0,MALE,High School,exec-managerial,other-relative,28900,0,Multi-vehicle Collision,Front Collision,Minor Damage,Police,0,3,unknown,0,3,YES,5190,10380,36330,Y,2883,3.499662845583277,0.2105026868359354,1,1,Low Risk
144,37,250/500,2000,1896.91,0,FEMALE,PhD,handlers-cleaners,not-in-family,73700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,17,3,YES,1,3,NO,5440,10880,38080,Y,835,3.4996783383880157,0.547212690884161,1,1,Medium Risk
259,42,100/300,2000,1170.53,0,FEMALE,PhD,armed-forces,wife,65000,-49200,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,17,3,NO,1,2,YES,5690,11380,45520,N,6929,3.99964853703541,0.30761155265038853,1,0,Low Risk
76,31,500/1000,500,1493.5,5000000,FEMALE,Associate,priv-house-serv,not-in-family,39900,-44000,Vehicle Theft,unknown,Minor Damage,Police,7,1,NO,2,1,NO,1460,730,5840,N,2880,7.989056087551299,0.12908654616066803,0,0,Low Risk
304,49,100/300,1000,1525.86,0,FEMALE,PhD,craft-repair,own-child,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Other,2,1,YES,1,1,YES,13340,6670,53360,N,4866,7.99880077949333,0.29634421194271415,1,0,Low Risk
188,33,250/500,1000,1340.24,0,MALE,High School,protective-serv,own-child,0,-68800,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,8,3,YES,1,0,unknown,13820,6910,55280,Y,7618,7.998842425119375,0.21301677519364148,1,1,Low Risk
141,30,250/500,1000,1851.78,0,FEMALE,High School,craft-repair,other-relative,78800,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,13,1,NO,1,0,YES,6860,6860,48020,N,5322,6.9989797405626,0.41871412458033447,1,0,Medium Risk
266,46,100/300,2000,1578.54,0,MALE,Associate,handlers-cleaners,husband,0,-41400,Single Vehicle Collision,Front Collision,Minor Damage,Fire,18,1,NO,1,3,YES,7590,15180,60720,N,2169,3.9997365127461957,0.28428869562385756,1,0,Low Risk
211,35,100/300,500,1040.75,0,FEMALE,JD,prof-specialty,not-in-family,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,1,1,YES,1,1,unknown,7000,7000,28000,N,6741,3.999428653049564,0.27024103664191446,1,0,Low Risk
219,43,100/300,1000,1114.29,0,FEMALE,High School,transport-moving,other-relative,51300,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,1,1,unknown,2,2,YES,6060,6060,54540,N,4585,8.998515096518727,0.5617173207183833,1,0,Medium Risk
27,33,100/300,500,1442.99,0,FEMALE,PhD,other-service,own-child,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,21,1,NO,1,1,YES,2770,2770,22160,N,6568,7.997112955611692,0.12938576100456928,0,0,Low Risk
88,25,250/500,1000,1194.0,0,FEMALE,JD,handlers-cleaners,husband,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,6,1,YES,1,2,YES,7420,7420,51940,Y,2668,6.9990567308988005,0.5783000970686766,1,1,Medium Risk
