authorities_contacted authorities_contacted,collision_type collision_type,fraud_reported fraud_reported,incident_severity incident_severity,incident_type incident_type,insured_education_level insured_education_level,insured_occupation insured_occupation,insured_relationship insured_relationship,insured_sex insured_sex,police_report_available police_report_available,policy_csl policy_csl,property_damage property_damage,Risk_Level Risk_Level,Actual Actual,age age,bodily_injuries bodily_injuries,capital-gains capital-gains,capital-loss capital-loss,claim_deviation claim_deviation,claim_ratio claim_ratio,claimscount,Fraud_Probability Fraud_Probability,incident_hour_of_the_day incident_hour_of_the_day,injury_claim injury_claim,months_as_customer months_as_customer,number_of_vehicles_involved number_of_vehicles_involved,policy_age_days policy_age_days,policy_annual_premium policy_annual_premium,policy_deductable policy_deductable,Predicted Predicted,property_claim property_claim,row_count,tetx,total_claim_amount total_claim_amount,umbrella_limit umbrella_limit,vehicle_claim vehicle_claim,witnesses witnesses
Police,Side Collision,Y,Major Damage,Single Vehicle Collision,MD,craft-repair,husband,MALE,YES,250/500,YES,Medium Risk,1,48,1,53300,0,14151.05,3.999692804,1,0.645184841,5,6510,328,1,100,1406.91,1000,1,13020,1,0,71610,0,52080,2
Police,unknown,Y,Minor Damage,Vehicle Theft,MD,machine-op-inspct,other-relative,MALE,unknown,250/500,unknown,Medium Risk,1,42,0,0,0,-34418.95,4.494238156,1,0.542607943,8,780,228,1,3130,1197.22,2000,1,780,1,0,5070,5000000,3510,0
Police,Rear Collision,N,Minor Damage,Multi-vehicle Collision,PhD,sales,own-child,FEMALE,NO,100/300,NO,Low Risk,0,29,2,35100,0,-14828.95,5.998441963,1,0.066555406,7,7700,134,3,5282,1413.14,2000,0,3850,1,0,34650,5000000,23100,3
Police,Front Collision,Y,Major Damage,Single Vehicle Collision,PhD,armed-forces,unmarried,FEMALE,NO,250/500,unknown,High Risk,1,41,1,48900,-62400,12791.05,7.998738369,1,0.800980905,5,6340,256,1,8996,1415.74,2000,1,6340,1,0,63400,6000000,50720,2
unknown,unknown,N,Minor Damage,Vehicle Theft,Associate,sales,unmarried,MALE,NO,500/1000,NO,Low Risk,0,44,0,66000,-46000,-33378.95,6.989247312,1,0.101730859,20,1300,228,1,256,1583.91,1000,0,650,1,0,6500,6000000,4550,1
Fire,Rear Collision,Y,Major Damage,Multi-vehicle Collision,PhD,tech-support,unmarried,FEMALE,NO,250/500,NO,High Risk,1,39,0,0,0,13351.05,7.998752145,1,0.741854756,19,6410,256,3,3004,1351.1,1000,1,6410,1,0,64100,0,51280,2
Police,Front Collision,N,Minor Damage,Multi-vehicle Collision,PhD,prof-specialty,husband,MALE,unknown,250/500,unknown,Low Risk,0,34,0,0,-77000,12121.05,6.999021116,1,0.201390325,0,21450,137,3,5336,1333.35,1000,1,7150,1,0,78650,0,50050,0
Police,Front Collision,N,Total Loss,Multi-vehicle Collision,Associate,tech-support,unmarried,MALE,YES,100/300,unknown,Low Risk,0,37,2,0,0,-5098.95,3.499626905,1,0.164465788,23,9380,165,3,9155,1137.03,1000,0,9380,1,0,51590,0,32830,2
Police,Front Collision,N,Total Loss,Single Vehicle Collision,PhD,other-service,own-child,FEMALE,YES,100/300,NO,Low Risk,0,33,1,0,0,-15768.95,7.997112956,1,0.166795250,21,2770,27,1,6568,1442.99,500,0,2770,1,0,27700,0,22160,1
Other,Rear Collision,N,Total Loss,Single Vehicle Collision,PhD,priv-house-serv,wife,MALE,unknown,100/300,NO,Low Risk,0,42,2,0,-39300,-5028.95,6.998510955,1,0.160392520,14,4700,212,1,1260,1315.68,500,0,4700,1,0,42300,0,32900,1
Police,Front Collision,N,Total Loss,Single Vehicle Collision,Masters,exec-managerial,other-relative,FEMALE,unknown,100/300,YES,Low Risk,0,42,2,38400,0,25351.05,3.999747171,1,0.259329159,22,7910,235,1,4608,1253.12,500,1,15820,1,0,87010,4000000,63280,2
Fire,Front Collision,N,Major Damage,Multi-vehicle Collision,High School,exec-managerial,other-relative,FEMALE,YES,100/300,YES,Low Risk,0,61,1,0,-51000,41631.05,4.499745490,1,0.367627016,21,17680,447,3,5741,1137.16,2000,1,17680,1,0,114920,0,79560,2
Ambulance,Rear Collision,N,Total Loss,Single Vehicle Collision,MD,protective-serv,wife,MALE,NO,500/1000,YES,Low Risk,0,23,1,0,0,4461.05,4.499522344,1,0.295623625,9,4710,60,1,6272,1215.36,500,1,9420,1,0,56520,3000000,42390,0
unknown,unknown,N,Minor Damage,Parked Car,MD,armed-forces,wife,FEMALE,NO,100/300,NO,Low Risk,0,34,1,52800,-32800,-32888.95,4.495985727,1,0.097825949,5,1120,121,1,804,936.61,1000,0,1120,1,0,7280,0,5040,1
Police,Rear Collision,Y,Total Loss,Single Vehicle Collision,College,machine-op-inspct,not-in-family,FEMALE,YES,250/500,NO,Medium Risk,1,38,0,41300,-55500,-4328.95,3.999523866,1,0.576737989,12,4200,180,1,5862,1301.13,2000,1,8400,1,0,46200,0,33600,2
Other,Side Collision,Y,Major Damage,Multi-vehicle Collision,MD,transport-moving,other-relative,FEMALE,NO,100/300,YES,Medium Risk,1,58,0,55700,0,4151.05,3.999619808,1,0.412830806,12,10520,473,4,8137,1131.4,2000,1,10520,1,0,63120,0,42080,0
Other,Rear Collision,N,Major Damage,Multi-vehicle Collision,College,machine-op-inspct,own-child,MALE,YES,500/1000,unknown,Low Risk,0,26,1,63600,0,2601.05,6.998791228,1,0.276559591,0,5790,70,3,3546,1199.44,1000,1,5790,1,0,52110,5000000,40530,2
Police,Side Collision,N,Total Loss,Single Vehicle Collision,High School,machine-op-inspct,unmarried,MALE,YES,500/1000,NO,Low Risk,0,31,0,53500,0,18711.05,7.998870216,1,0.142320631,9,14160,140,1,3704,708.64,500,0,7080,1,0,77880,6000000,56640,2
Other,Side Collision,N,Total Loss,Single Vehicle Collision,MD,craft-repair,other-relative,FEMALE,NO,500/1000,YES,Low Risk,0,37,1,45500,-37800,15111.05,3.999698364,1,0.172873385,19,6630,160,1,22,1374.22,500,0,13260,1,0,72930,0,53040,0
