months_as_customer,age,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,fraud_reported,policy_age_days,claim_deviation,claim_ratio,Actual,Fraud_Probability,Predicted,Risk_Level
328,48,250/500,1000,1406.91,0,MALE,MD,craft-repair,husband,53300,0,Single Vehicle Collision,Side Collision,Major Damage,Police,5,1,YES,1,2,YES,71610,6510,13020,52080,Y,100,14151.050000000003,3.99969280393211,1,0.6451848409393915,1,Medium Risk
228,42,250/500,2000,1197.22,5000000,MALE,MD,machine-op-inspct,other-relative,0,0,Vehicle Theft,unknown,Minor Damage,Police,8,1,unknown,0,0,unknown,5070,780,780,3510,Y,3130,-34418.95,4.494238156209987,1,0.5426079430684771,1,Medium Risk
134,29,100/300,2000,1413.14,5000000,FEMALE,PhD,sales,own-child,35100,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,7,3,NO,2,3,NO,34650,7700,3850,23100,N,5282,-14828.949999999997,5.998441963126461,0,0.06655540588830065,0,Low Risk
256,41,250/500,2000,1415.74,6000000,FEMALE,PhD,armed-forces,unmarried,48900,-62400,Single Vehicle Collision,Front Collision,Major Damage,Police,5,1,unknown,1,2,NO,63400,6340,6340,50720,Y,8996,12791.050000000003,7.998738369342375,1,0.8009809049201789,1,High Risk
228,44,500/1000,1000,1583.91,6000000,MALE,Associate,sales,unmarried,66000,-46000,Vehicle Theft,unknown,Minor Damage,unknown,20,1,NO,0,1,NO,6500,1300,650,4550,N,256,-33378.95,6.989247311827957,0,0.10173085910549852,0,Low Risk
256,39,250/500,1000,1351.1,0,FEMALE,PhD,tech-support,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,19,3,NO,0,2,NO,64100,6410,6410,51280,Y,3004,13351.050000000003,7.998752144751209,1,0.7418547561566905,1,High Risk
137,34,250/500,1000,1333.35,0,MALE,PhD,prof-specialty,husband,0,-77000,Multi-vehicle Collision,Front Collision,Minor Damage,Police,0,3,unknown,0,0,unknown,78650,21450,7150,50050,N,5336,12121.050000000003,6.999021115927842,0,0.20139032518702485,1,Low Risk
165,37,100/300,1000,1137.03,0,MALE,Associate,tech-support,unmarried,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,23,3,unknown,2,2,YES,51590,9380,9380,32830,N,9155,-5098.949999999997,3.4996269054471805,0,0.16446578818701785,0,Low Risk
27,33,100/300,500,1442.99,0,FEMALE,PhD,other-service,own-child,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,21,1,NO,1,1,YES,27700,2770,2770,22160,N,6568,-15768.949999999997,7.997112955611692,0,0.1667952500670896,0,Low Risk
212,42,100/300,500,1315.68,0,MALE,PhD,priv-house-serv,wife,0,-39300,Single Vehicle Collision,Rear Collision,Total Loss,Other,14,1,NO,2,1,unknown,42300,4700,4700,32900,N,1260,-5028.949999999997,6.998510955115933,0,0.16039252035946813,0,Low Risk
235,42,100/300,500,1253.12,4000000,FEMALE,Masters,exec-managerial,other-relative,38400,0,Single Vehicle Collision,Front Collision,Total Loss,Police,22,1,YES,2,2,unknown,87010,7910,15820,63280,N,4608,25351.050000000003,3.999747171480943,0,0.25932915898428005,1,Low Risk
447,61,100/300,2000,1137.16,0,FEMALE,High School,exec-managerial,other-relative,0,-51000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,21,3,YES,1,2,YES,114920,17680,17680,79560,N,5741,41631.05,4.499745489508512,0,0.36762701565390643,1,Low Risk
60,23,500/1000,500,1215.36,3000000,MALE,MD,protective-serv,wife,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,9,1,YES,1,0,NO,56520,4710,9420,42390,N,6272,4461.050000000003,4.499522343700244,0,0.29562362520801333,1,Low Risk
121,34,100/300,1000,936.61,0,FEMALE,MD,armed-forces,wife,52800,-32800,Parked Car,unknown,Minor Damage,unknown,5,1,NO,1,1,NO,7280,1120,1120,5040,N,804,-32888.95,4.495985727029438,0,0.09782594926583638,0,Low Risk
180,38,250/500,2000,1301.13,0,FEMALE,College,machine-op-inspct,not-in-family,41300,-55500,Single Vehicle Collision,Rear Collision,Total Loss,Police,12,1,NO,0,2,YES,46200,4200,8400,33600,Y,5862,-4328.949999999997,3.999523866206404,1,0.5767379890354235,1,Medium Risk
473,58,100/300,2000,1131.4,0,FEMALE,MD,transport-moving,other-relative,55700,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,4,YES,0,0,NO,63120,10520,10520,42080,Y,8137,4151.050000000003,3.9996198080030414,1,0.4128308056650098,1,Medium Risk
70,26,500/1000,1000,1199.44,5000000,MALE,College,machine-op-inspct,own-child,63600,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,0,3,unknown,1,2,YES,52110,5790,5790,40530,N,3546,2601.050000000003,6.998791227767225,0,0.2765595906589023,1,Low Risk
140,31,500/1000,500,708.64,6000000,MALE,High School,machine-op-inspct,unmarried,53500,0,Single Vehicle Collision,Side Collision,Total Loss,Police,9,1,NO,0,2,YES,77880,14160,7080,56640,N,3704,18711.050000000003,7.998870216071176,0,0.14232063078869464,0,Low Risk
160,37,500/1000,500,1374.22,0,FEMALE,MD,craft-repair,other-relative,45500,-37800,Single Vehicle Collision,Side Collision,Total Loss,Other,19,1,YES,1,0,NO,72930,6630,13260,53040,N,22,15111.050000000003,3.999698363622653,0,0.17287338487939624,0,Low Risk
196,39,500/1000,2000,1475.73,0,FEMALE,High School,handlers-cleaners,own-child,57000,-27300,Multi-vehicle Collision,Side Collision,Major Damage,Police,8,3,unknown,2,0,NO,60400,6040,6040,48320,N,8239,10391.050000000003,7.9986757159410695,0,0.3504193668442584,1,Low Risk
460,62,250/500,1000,1187.96,4000000,MALE,JD,other-service,own-child,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,20,3,NO,1,0,unknown,47160,0,5240,41920,N,4573,3991.050000000003,7.998473573745469,0,0.21733600568765832,1,Low Risk
217,41,500/1000,2000,875.15,0,FEMALE,Associate,machine-op-inspct,own-child,46700,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,15,3,unknown,1,2,unknown,37840,0,4730,33110,N,3362,-4818.949999999997,6.998520397378989,0,0.14730451598518585,0,Low Risk
370,55,100/300,2000,972.18,0,MALE,High School,prof-specialty,other-relative,72700,-68200,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,20,3,NO,0,0,YES,71520,17880,5960,47680,Y,7534,9751.050000000003,7.998657943298104,1,0.6745711737320049,1,Medium Risk
413,55,100/300,2000,1268.79,0,MALE,MD,priv-house-serv,own-child,0,-31000,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,15,1,unknown,2,2,unknown,98160,8180,16360,73620,Y,8746,35691.05,4.499724955687305,1,0.7143985278811023,1,High Risk
237,40,100/300,1000,883.31,0,MALE,College,craft-repair,husband,0,-53500,Single Vehicle Collision,Rear Collision,Minor Damage,Other,6,1,NO,1,3,NO,77880,7080,14160,56640,N,6962,18711.050000000003,3.9997175340724525,0,0.2625716779129784,1,Low Risk
8,35,100/300,2000,1266.92,0,MALE,Masters,sales,own-child,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,16,3,NO,1,3,YES,71500,16500,11000,44000,Y,400,6071.050000000003,3.99963639669121,1,0.7296464633525093,1,High Risk
257,43,100/300,2000,1322.1,0,MALE,High School,prof-specialty,own-child,0,-29200,Parked Car,unknown,Minor Damage,Police,4,1,YES,1,3,YES,9020,1640,820,6560,N,8896,-31368.949999999997,7.990255785627284,0,0.06705541221050397,0,Low Risk
202,34,100/300,500,848.07,3000000,MALE,JD,exec-managerial,not-in-family,31000,-30200,Vehicle Theft,unknown,Minor Damage,unknown,5,1,YES,2,1,unknown,5720,1040,520,4160,Y,4556,-33768.95,7.984644913627639,1,0.6274483808279874,1,Medium Risk
224,40,100/300,2000,1291.7,0,FEMALE,JD,sales,not-in-family,0,-55600,Single Vehicle Collision,Side Collision,Minor Damage,Other,21,1,NO,1,0,YES,69840,7760,15520,46560,N,9100,8631.050000000003,2.999806713484956,0,0.18123533229786531,0,Low Risk
241,45,500/1000,2000,1104.5,0,FEMALE,PhD,machine-op-inspct,unmarried,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,5,1,NO,2,2,NO,91650,14100,14100,63450,N,348,25521.050000000003,4.499680873696901,0,0.1616239751196067,0,Low Risk
